PINCODE,DISTRICT,statename
680307,Thrissur,KERALA
695589,Thiruvananthapuram,KERALA
682010,Ernakulam,KERALA
690531,Alappuzha,KERALA
673323,Kozhikode,KERALA
695581,Thiruvananthapuram,KERALA
683548,Ernakulam,KERALA
679341,Malappuram,KERALA
682317,Ernakulam,KERALA
682051,Ernakulam,KERALA
682050,Ernakulam,KERALA
685571,Idukki,KERALA
685595,Idukki,KERALA
685505,Idukki,KERALA
685619,Idukki,KERALA
685552,Idukki,KERALA
685565,Idukki,KERALA
685601,Idukki,KERALA
685535,Idukki,KERALA
685531,Idukki,KERALA
685603,Idukki,KERALA
685532,Idukki,KERALA
685554,Idukki,KERALA
685602,Idukki,KERALA
685507,Idukki,KERALA
685551,Idukki,KERALA
685591,Idukki,KERALA
685613,Idukki,KERALA
685615,Idukki,KERALA
685562,Idukki,KERALA
685581,Idukki,KERALA
685588,Idukki,KERALA
685586,Idukki,KERALA
685582,Idukki,KERALA
685590,Idukki,KERALA
685616,Idukki,KERALA
685589,Idukki,KERALA
685612,Idukki,KERALA
685587,Idukki,KERALA
685605,Idukki,KERALA
685566,Idukki,KERALA
685618,Idukki,KERALA
685614,Idukki,KERALA
685585,Idukki,KERALA
685583,Idukki,KERALA
685563,Idukki,KERALA
685604,Idukki,KERALA
685620,Idukki,KERALA
685606,Idukki,KERALA
685561,Idukki,KERALA
685503,Idukki,KERALA
685512,Idukki,KERALA
685511,Idukki,KERALA
685501,Idukki,KERALA
685515,Idukki,KERALA
685509,Idukki,KERALA
685553,Idukki,KERALA
685533,Idukki,KERALA
685514,Idukki,KERALA
691573,Kollam,KERALA
691002,Kollam,KERALA
691302,Kollam,KERALA
691014,Kollam,KERALA
691572,Kollam,KERALA
691502,Kollam,KERALA
691011,Kollam,KERALA
691008,Kollam,KERALA
691578,Kollam,KERALA
691602,Kollam,KERALA
691576,Kollam,KERALA
691579,Kollam,KERALA
691003,Kollam,KERALA
691004,Kollam,KERALA
691001,Kollam,KERALA
691001,Kollam,KERALA
691013,Kollam,KERALA
691013,Kollam,KERALA
691001,Kollam,KERALA
691571,Kollam,KERALA
691501,Kollam,KERALA
691501,Kollam,KERALA
691015,Kollam,KERALA
691303,Kollam,KERALA
691577,Kollam,KERALA
691503,Kollam,KERALA
691515,Kollam,KERALA
691334,Kollam,KERALA
691006,Kollam,KERALA
691301,Kollam,KERALA
691574,Kollam,KERALA
691021,Kollam,KERALA
691601,Kollam,KERALA
691504,Kollam,KERALA
691304,Kollam,KERALA
691581,Kollam,KERALA
691005,Kollam,KERALA
691007,Kollam,KERALA
691020,Kollam,KERALA
691016,Kollam,KERALA
691319,Kollam,KERALA
691009,Kollam,KERALA
691012,Kollam,KERALA
691019,Kollam,KERALA
691589,Kollam,KERALA
691010,Kollam,KERALA
691511,Kollam,KERALA
691500,Kollam,KERALA
690573,Kollam,KERALA
690538,Kollam,KERALA
690542,Kollam,KERALA
691583,Kollam,KERALA
691584,Kollam,KERALA
690525,Kollam,KERALA
691590,Kollam,KERALA
690544,Kollam,KERALA
690574,Kollam,KERALA
691585,Kollam,KERALA
690519,Kollam,KERALA
691582,Kollam,KERALA
690526,Kollam,KERALA
690547,Alappuzha,KERALA
690539,Kollam,KERALA
690523,Kollam,KERALA
690524,Kollam,KERALA
690536,Kollam,KERALA
690528,Kollam,KERALA
691534,Kollam,KERALA
691557,Kollam,KERALA
691520,Kollam,KERALA
691559,Kollam,KERALA
691505,Kollam,KERALA
691536,Kollam,KERALA
691560,Kollam,KERALA
691543,Kollam,KERALA
691516,Kollam,KERALA
691521,Kollam,KERALA
691509,Kollam,KERALA
691541,Kollam,KERALA
691535,Kollam,KERALA
691512,Kollam,KERALA
691510,Kollam,KERALA
691566,Kollam,KERALA
691537,Kollam,KERALA
691531,Kollam,KERALA
691507,Kollam,KERALA
691532,Kollam,KERALA
691540,Kollam,KERALA
691538,Kollam,KERALA
673015,Kozhikode,KERALA
673018,Kozhikode,KERALA
673004,Kozhikode,KERALA
673032,Kozhikode,KERALA
673032,Kozhikode,KERALA
673008,Kozhikode,KERALA
673001,Kozhikode,KERALA
673002,Kozhikode,KERALA
673301,Kozhikode,KERALA
673655,Kozhikode,KERALA
673017,Kozhikode,KERALA
673005,Kozhikode,KERALA
673303,Kozhikode,KERALA
673632,Kozhikode,KERALA
673631,Kozhikode,KERALA
673631,Kozhikode,KERALA
673021,Kozhikode,KERALA
673004,Kozhikode,KERALA
673633,Kozhikode,KERALA
673002,Kozhikode,KERALA
673029,Kozhikode,KERALA
673011,Kozhikode,KERALA
673005,Kozhikode,KERALA
673005,Kozhikode,KERALA
673020,Kozhikode,KERALA
673601,Kozhikode,KERALA
673616,Kozhikode,KERALA
673006,Kozhikode,KERALA
673611,Kozhikode,KERALA
673010,Kozhikode,KERALA
673580,Kozhikode,KERALA
673572,Kozhikode,KERALA
673571,Kozhikode,KERALA
673604,Kozhikode,KERALA
673009,Kozhikode,KERALA
673012,Kozhikode,KERALA
673602,Kozhikode,KERALA
673613,Kozhikode,KERALA
673585,Kozhikode,KERALA
673586,Kozhikode,KERALA
673573,Kozhikode,KERALA
673603,Kozhikode,KERALA
673593,Wayanad,KERALA
673595,Wayanad,KERALA
673123,Wayanad,KERALA
673122,Wayanad,KERALA
673596,Wayanad,KERALA
673577,Wayanad,KERALA
673575,Wayanad,KERALA
673579,Wayanad,KERALA
673592,Wayanad,KERALA
673592,Wayanad,KERALA
673028,Kozhikode,KERALA
673014,Kozhikode,KERALA
673302,Kozhikode,KERALA
673003,Kozhikode,KERALA
673655,Kozhikode,KERALA
673003,Kozhikode,KERALA
673016,Kozhikode,KERALA
673007,Kozhikode,KERALA
673328,Kozhikode,KERALA
673661,Kozhikode,KERALA
673011,Kozhikode,KERALA
673027,Kozhikode,KERALA
673019,Kozhikode,KERALA
673001,Kozhikode,KERALA
673581,Wayanad,KERALA
673576,Wayanad,KERALA
673591,Wayanad,KERALA
673570,Kozhikode,KERALA
695015,Thiruvananthapuram,KERALA
695014,Thiruvananthapuram,KERALA
695528,Thiruvananthapuram,KERALA
695588,Thiruvananthapuram,KERALA
682042,Ernakulam,KERALA
670504,Kannur,KERALA
695134,Thiruvananthapuram,KERALA
695601,Thiruvananthapuram,KERALA
670353,Kannur,KERALA
686630,Kottayam,KERALA
686146,Kottayam,KERALA
695570,Thiruvananthapuram,KERALA
671534,Kasargod,KERALA
673124,Wayanad,KERALA
673051,Kozhikode,KERALA
690546,Kollam,KERALA
691527,Kollam,KERALA
685584,Idukki,KERALA
685609,Idukki,KERALA
673582,Kozhikode,KERALA
685608,Idukki,KERALA
685607,Idukki,KERALA
679101,Palakkad,KERALA
688001,Alappuzha,KERALA
688524,Alappuzha,KERALA
683101,Ernakulam,KERALA
686661,Ernakulam,KERALA
683542,Ernakulam,KERALA
686101,Kottayam,KERALA
686507,Kottayam,KERALA
682011,Ernakulam,KERALA
682001,Ernakulam,KERALA
685584,Idukki,KERALA
685508,Idukki,KERALA
680307,Thrissur,KERALA
680121,Thrissur,KERALA
670001,Kannur,KERALA
670141,Kannur,KERALA
671121,Kasargod,KERALA
671315,Kasargod,KERALA
691001,Kollam,KERALA
691506,Kollam,KERALA
690518,Kollam,KERALA
686001,Kottayam,KERALA
686575,Kottayam,KERALA
686141,Kottayam,KERALA
676121,Malappuram,KERALA
676505,Malappuram,KERALA
690101,Alappuzha,KERALA
690502,Alappuzha,KERALA
678001,Palakkad,KERALA
678541,Palakkad,KERALA
678002,Palakkad,KERALA
689645,Pathanamthitta,KERALA
691523,Pathanamthitta,KERALA
691305,Kollam,KERALA
670101,Kannur,KERALA
680001,Thrissur,KERALA
680503,Thrissur,KERALA
680582,Thrissur,KERALA
676101,Malappuram,KERALA
679577,Malappuram,KERALA
689121,Alappuzha,KERALA
689101,Pathanamthitta,KERALA
673001,Kozhikode,KERALA
673020,Kozhikode,KERALA
673121,Wayanad,KERALA
673101,Kozhikode,KERALA
673305,Kozhikode,KERALA
695001,Thiruvananthapuram,KERALA
695101,Thiruvananthapuram,KERALA
695121,Thiruvananthapuram,KERALA
695012,Thiruvananthapuram,KERALA
686008,Kottayam,KERALA
670563,Kannur,KERALA
685612,Idukki,KERALA
670632,Kannur,KERALA
691583,Kollam,KERALA
683520,Ernakulam,KERALA
691015,Kollam,KERALA
673527,Kozhikode,KERALA
673527,Kozhikode,KERALA
685612,Idukki,KERALA
670521,Kannur,KERALA
695141,Thiruvananthapuram,KERALA
691524,Pathanamthitta,KERALA
695009,Thiruvananthapuram,KERALA
695584,Thiruvananthapuram,KERALA
695021,Thiruvananthapuram,KERALA
689509,Alappuzha,KERALA
678581,Palakkad,KERALA
679522,Palakkad,KERALA
679305,Palakkad,KERALA
679336,Palakkad,KERALA
679512,Palakkad,KERALA
679336,Palakkad,KERALA
678581,Palakkad,KERALA
678582,Palakkad,KERALA
679521,Palakkad,KERALA
678633,Palakkad,KERALA
679304,Palakkad,KERALA
679535,Palakkad,KERALA
678762,Palakkad,KERALA
679302,Palakkad,KERALA
679503,Palakkad,KERALA
679552,Palakkad,KERALA
679501,Palakkad,KERALA
678583,Palakkad,KERALA
678601,Palakkad,KERALA
690106,Alappuzha,KERALA
690517,Alappuzha,KERALA
678582,Palakkad,KERALA
679552,Palakkad,KERALA
678581,Palakkad,KERALA
679514,Palakkad,KERALA
678582,Palakkad,KERALA
679308,Palakkad,KERALA
678601,Palakkad,KERALA
679335,Palakkad,KERALA
678591,Palakkad,KERALA
679335,Palakkad,KERALA
679308,Palakkad,KERALA
679302,Palakkad,KERALA
678601,Palakkad,KERALA
679552,Palakkad,KERALA
679522,Palakkad,KERALA
678583,Palakkad,KERALA
678596,Palakkad,KERALA
678591,Palakkad,KERALA
679552,Palakkad,KERALA
679305,Palakkad,KERALA
678581,Palakkad,KERALA
679503,Palakkad,KERALA
679513,Palakkad,KERALA
679504,Palakkad,KERALA
679514,Palakkad,KERALA
679514,Palakkad,KERALA
679121,Palakkad,KERALA
679522,Palakkad,KERALA
678583,Palakkad,KERALA
678582,Palakkad,KERALA
679533,Palakkad,KERALA
678583,Palakkad,KERALA
678582,Palakkad,KERALA
679501,Palakkad,KERALA
679522,Palakkad,KERALA
679503,Palakkad,KERALA
679122,Palakkad,KERALA
679534,Palakkad,KERALA
678597,Palakkad,KERALA
678593,Palakkad,KERALA
678582,Palakkad,KERALA
679511,Palakkad,KERALA
679122,Palakkad,KERALA
679502,Palakkad,KERALA
679533,Palakkad,KERALA
678583,Palakkad,KERALA
679308,Palakkad,KERALA
679534,Palakkad,KERALA
678591,Palakkad,KERALA
679122,Palakkad,KERALA
679301,Palakkad,KERALA
679503,Palakkad,KERALA
679307,Palakkad,KERALA
678583,Palakkad,KERALA
678583,Palakkad,KERALA
678633,Palakkad,KERALA
679336,Palakkad,KERALA
679514,Palakkad,KERALA
679534,Palakkad,KERALA
679554,Palakkad,KERALA
678583,Palakkad,KERALA
679534,Palakkad,KERALA
679503,Palakkad,KERALA
678633,Palakkad,KERALA
679523,Palakkad,KERALA
678581,Palakkad,KERALA
679306,Palakkad,KERALA
679335,Palakkad,KERALA
679307,Palakkad,KERALA
679501,Palakkad,KERALA
678581,Palakkad,KERALA
678632,Palakkad,KERALA
679535,Palakkad,KERALA
679523,Palakkad,KERALA
679303,Palakkad,KERALA
679313,Palakkad,KERALA
678583,Palakkad,KERALA
679303,Palakkad,KERALA
679501,Palakkad,KERALA
679307,Palakkad,KERALA
679303,Palakkad,KERALA
678581,Palakkad,KERALA
679122,Palakkad,KERALA
679536,Palakkad,KERALA
680519,Thrissur,KERALA
680584,Thrissur,KERALA
679303,Palakkad,KERALA
679335,Palakkad,KERALA
679536,Palakkad,KERALA
678583,Palakkad,KERALA
679535,Palakkad,KERALA
678595,Palakkad,KERALA
678598,Palakkad,KERALA
678581,Palakkad,KERALA
689109,Alappuzha,KERALA
689588,Pathanamthitta,KERALA
689106,Pathanamthitta,KERALA
689107,Pathanamthitta,KERALA
689571,Alappuzha,KERALA
680684,Thrissur,KERALA
680721,Thrissur,KERALA
680309,Thrissur,KERALA
680309,Thrissur,KERALA
680732,Thrissur,KERALA
689122,Alappuzha,KERALA
689122,Pathanamthitta,KERALA
689533,Pathanamthitta,KERALA
689124,Alappuzha,KERALA
689547,Pathanamthitta,KERALA
689543,Pathanamthitta,KERALA
689548,Pathanamthitta,KERALA
689104,Pathanamthitta,KERALA
678007,Palakkad,KERALA
678555,Palakkad,KERALA
678103,Palakkad,KERALA
670612,Kannur,KERALA
670612,Kannur,KERALA
670612,Kannur,KERALA
685515,Idukki,KERALA
670601,Kannur,KERALA
678508,Palakkad,KERALA
678642,Palakkad,KERALA
678642,Palakkad,KERALA
678642,Palakkad,KERALA
678702,Palakkad,KERALA
678702,Palakkad,KERALA
678506,Palakkad,KERALA
670142,Kannur,KERALA
673634,Malappuram,KERALA
673634,Malappuram,KERALA
676122,Malappuram,KERALA
676122,Malappuram,KERALA
676122,Malappuram,KERALA
676122,Malappuram,KERALA
676122,Malappuram,KERALA
676122,Malappuram,KERALA
676122,Malappuram,KERALA
676521,Malappuram,KERALA
676122,Malappuram,KERALA
673641,Malappuram,KERALA
673641,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673641,Malappuram,KERALA
673641,Malappuram,KERALA
673641,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
673638,Malappuram,KERALA
695601,Thiruvananthapuram,KERALA
676521,Malappuram,KERALA
676521,Malappuram,KERALA
676521,Malappuram,KERALA
685565,Idukki,KERALA
670645,Wayanad,KERALA
679338,Malappuram,KERALA
685565,Idukki,KERALA
685565,Idukki,KERALA
679338,Malappuram,KERALA
679357,Malappuram,KERALA
679357,Malappuram,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
683516,Ernakulam,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Idukki,KERALA
685533,Pathanamthitta,KERALA
685565,Idukki,KERALA
670644,Wayanad,KERALA
685565,Idukki,KERALA
685565,Idukki,KERALA
671531,Kasargod,KERALA
685619,Idukki,KERALA
685565,Idukki,KERALA
685619,Idukki,KERALA
685619,Idukki,KERALA
685565,Idukki,KERALA
685571,Idukki,KERALA
671312,Kasargod,KERALA
685620,Idukki,KERALA
685620,Idukki,KERALA
685620,Idukki,KERALA
685620,Idukki,KERALA
685619,Idukki,KERALA
685619,Idukki,KERALA
685619,Idukki,KERALA
685619,Idukki,KERALA
676311,Malappuram,KERALA
676302,Malappuram,KERALA
671312,Kasargod,KERALA
676319,Malappuram,KERALA
679571,Malappuram,KERALA
676304,Malappuram,KERALA
676553,Malappuram,KERALA
671317,Kasargod,KERALA
671124,Kasargod,KERALA
683546,Ernakulam,KERALA
682007,Ernakulam,KERALA
685571,Idukki,KERALA
685552,Idukki,KERALA
670103,Kannur,KERALA
685552,Idukki,KERALA
685619,Idukki,KERALA
685619,Idukki,KERALA
685571,Idukki,KERALA
685553,Idukki,KERALA
685553,Idukki,KERALA
685553,Idukki,KERALA
685552,Idukki,KERALA
685552,Idukki,KERALA
685552,Idukki,KERALA
685552,Idukki,KERALA
685553,Idukki,KERALA
685553,Idukki,KERALA
685551,Idukki,KERALA
689103,Pathanamthitta,KERALA
673502,Kozhikode,KERALA
673306,Kozhikode,KERALA
673620,Kozhikode,KERALA
673307,Kozhikode,KERALA
673506,Kozhikode,KERALA
689581,Pathanamthitta,KERALA
689581,Pathanamthitta,KERALA
689541,Pathanamthitta,KERALA
689541,Pathanamthitta,KERALA
689595,Alappuzha,KERALA
673620,Kozhikode,KERALA
673529,Kozhikode,KERALA
673574,Kozhikode,KERALA
673525,Kozhikode,KERALA
680702,Thrissur,KERALA
680683,Thrissur,KERALA
680566,Thrissur,KERALA
689691,Pathanamthitta,KERALA
691333,Kollam,KERALA
691554,Pathanamthitta,KERALA
679331,Malappuram,KERALA
678601,Palakkad,KERALA
678601,Palakkad,KERALA
678601,Palakkad,KERALA
678581,Palakkad,KERALA
679505,Palakkad,KERALA
678595,Palakkad,KERALA
678595,Palakkad,KERALA
679506,Palakkad,KERALA
678633,Palakkad,KERALA
679337,Palakkad,KERALA
679337,Palakkad,KERALA
679337,Palakkad,KERALA
679533,Palakkad,KERALA
678582,Palakkad,KERALA
678582,Palakkad,KERALA
679103,Palakkad,KERALA
679501,Palakkad,KERALA
679501,Palakkad,KERALA
679303,Palakkad,KERALA
678632,Palakkad,KERALA
679513,Palakkad,KERALA
679513,Palakkad,KERALA
678593,Palakkad,KERALA
678593,Palakkad,KERALA
679514,Palakkad,KERALA
679304,Palakkad,KERALA
679102,Palakkad,KERALA
679102,Palakkad,KERALA
679503,Palakkad,KERALA
679309,Palakkad,KERALA
680731,Thrissur,KERALA
680733,Thrissur,KERALA
680301,Thrissur,KERALA
680703,Thrissur,KERALA
680711,Thrissur,KERALA
680567,Thrissur,KERALA
689653,Pathanamthitta,KERALA
686005,Kottayam,KERALA
695609,Thiruvananthapuram,KERALA
695301,Thiruvananthapuram,KERALA
695301,Thiruvananthapuram,KERALA
695304,Thiruvananthapuram,KERALA
695601,Thiruvananthapuram,KERALA
695605,Thiruvananthapuram,KERALA
695011,Thiruvananthapuram,KERALA
688503,Alappuzha,KERALA
695601,Thiruvananthapuram,KERALA
678731,Palakkad,KERALA
673586,Kozhikode,KERALA
686013,Kottayam,KERALA
686146,Kottayam,KERALA
673124,Wayanad,KERALA
676521,Malappuram,KERALA
685563,Idukki,KERALA
685562,Idukki,KERALA
691579,Kollam,KERALA
685509,Idukki,KERALA
689506,Alappuzha,KERALA
689589,Pathanamthitta,KERALA
671321,Kasargod,KERALA
680121,Thrissur,KERALA
680312,Thrissur,KERALA
691307,Kollam,KERALA
685595,Idukki,KERALA
688009,Alappuzha,KERALA
695011,Thiruvananthapuram,KERALA
691579,Kollam,KERALA
688527,Alappuzha,KERALA
680683,Thrissur,KERALA
683104,Ernakulam,KERALA
691501,Kollam,KERALA
691531,Kollam,KERALA
685612,Idukki,KERALA
685511,Idukki,KERALA
680664,Thrissur,KERALA
680664,Thrissur,KERALA
680662,Thrissur,KERALA
680721,Thrissur,KERALA
680722,Thrissur,KERALA
685615,Idukki,KERALA
680506,Thrissur,KERALA
686102,Alappuzha,KERALA
686513,Idukki,KERALA
679123,Palakkad,KERALA
679122,Palakkad,KERALA
683581,Ernakulam,KERALA
695551,Thiruvananthapuram,KERALA
695013,Thiruvananthapuram,KERALA
695043,Thiruvananthapuram,KERALA
695020,Thiruvananthapuram,KERALA
695027,Thiruvananthapuram,KERALA
695541,Thiruvananthapuram,KERALA
695572,Thiruvananthapuram,KERALA
695505,Thiruvananthapuram,KERALA
695501,Thiruvananthapuram,KERALA
695124,Thiruvananthapuram,KERALA
695505,Thiruvananthapuram,KERALA
695124,Thiruvananthapuram,KERALA
695122,Thiruvananthapuram,KERALA
695122,Thiruvananthapuram,KERALA
673541,Kozhikode,KERALA
673507,Kozhikode,KERALA
673507,Kozhikode,KERALA
673502,Kozhikode,KERALA
673505,Kozhikode,KERALA
673508,Kozhikode,KERALA
673506,Kozhikode,KERALA
673542,Kozhikode,KERALA
673104,Kozhikode,KERALA
673507,Kozhikode,KERALA
673106,Kozhikode,KERALA
673104,Kozhikode,KERALA
673105,Kozhikode,KERALA
673541,Kozhikode,KERALA
673507,Kozhikode,KERALA
673507,Kozhikode,KERALA
673614,Kozhikode,KERALA
673612,Kozhikode,KERALA
673525,Kozhikode,KERALA
673323,Kozhikode,KERALA
673523,Kozhikode,KERALA
673323,Kozhikode,KERALA
673307,Kozhikode,KERALA
673620,Kozhikode,KERALA
673614,Kozhikode,KERALA
673304,Kozhikode,KERALA
673612,Kozhikode,KERALA
678582,Palakkad,KERALA
679121,Palakkad,KERALA
695541,Thiruvananthapuram,KERALA
678633,Palakkad,KERALA
678633,Palakkad,KERALA
678633,Palakkad,KERALA
679303,Palakkad,KERALA
679303,Palakkad,KERALA
679303,Palakkad,KERALA
679535,Palakkad,KERALA
678583,Palakkad,KERALA
678595,Palakkad,KERALA
679122,Palakkad,KERALA
678601,Palakkad,KERALA
679513,Palakkad,KERALA
679335,Palakkad,KERALA
679305,Palakkad,KERALA
679534,Palakkad,KERALA
679534,Palakkad,KERALA
678582,Palakkad,KERALA
679533,Palakkad,KERALA
691021,Kollam,KERALA
691576,Kollam,KERALA
691011,Kollam,KERALA
691601,Kollam,KERALA
691601,Kollam,KERALA
690547,Kollam,KERALA
690523,Kollam,KERALA
690519,Kollam,KERALA
691583,Kollam,KERALA
691583,Kollam,KERALA
690574,Kollam,KERALA
691583,Kollam,KERALA
691582,Kollam,KERALA
690523,Kollam,KERALA
691507,Kollam,KERALA
691531,Kollam,KERALA
691507,Kollam,KERALA
691507,Kollam,KERALA
691505,Kollam,KERALA
691532,Kollam,KERALA
691534,Kollam,KERALA
691531,Kollam,KERALA
691538,Kollam,KERALA
691520,Kollam,KERALA
691507,Kollam,KERALA
691532,Kollam,KERALA
691532,Kollam,KERALA
678631,Palakkad,KERALA
678631,Palakkad,KERALA
678684,Palakkad,KERALA
678555,Palakkad,KERALA
678006,Palakkad,KERALA
678005,Palakkad,KERALA
678012,Palakkad,KERALA
678551,Palakkad,KERALA
678701,Palakkad,KERALA
678612,Palakkad,KERALA
678687,Palakkad,KERALA
678502,Palakkad,KERALA
678613,Palakkad,KERALA
678543,Palakkad,KERALA
678571,Palakkad,KERALA
678004,Palakkad,KERALA
678544,Palakkad,KERALA
678612,Palakkad,KERALA
678004,Palakkad,KERALA
678572,Palakkad,KERALA
683101,Ernakulam,KERALA
683556,Ernakulam,KERALA
686670,Ernakulam,KERALA
686668,Ernakulam,KERALA
683561,Ernakulam,KERALA
686692,Ernakulam,KERALA
683578,Ernakulam,KERALA
686664,Ernakulam,KERALA
686667,Ernakulam,KERALA
683105,Ernakulam,KERALA
686669,Ernakulam,KERALA
686669,Ernakulam,KERALA
683574,Ernakulam,KERALA
686662,Ernakulam,KERALA
686663,Ernakulam,KERALA
683576,Ernakulam,KERALA
686662,Ernakulam,KERALA
686671,Ernakulam,KERALA
683575,Ernakulam,KERALA
686692,Ernakulam,KERALA
686673,Ernakulam,KERALA
686673,Ernakulam,KERALA
686662,Ernakulam,KERALA
683541,Ernakulam,KERALA
683572,Ernakulam,KERALA
683556,Ernakulam,KERALA
688540,Alappuzha,KERALA
689572,Alappuzha,KERALA
689572,Alappuzha,KERALA
689585,Pathanamthitta,KERALA
689582,Pathanamthitta,KERALA
689573,Alappuzha,KERALA
689583,Pathanamthitta,KERALA
689621,Pathanamthitta,KERALA
689108,Pathanamthitta,KERALA
689621,Pathanamthitta,KERALA
689572,Alappuzha,KERALA
689595,Alappuzha,KERALA
689581,Pathanamthitta,KERALA
689110,Pathanamthitta,KERALA
689621,Pathanamthitta,KERALA
689573,Alappuzha,KERALA
689585,Pathanamthitta,KERALA
689572,Alappuzha,KERALA
689573,Alappuzha,KERALA
689102,Pathanamthitta,KERALA
689547,Pathanamthitta,KERALA
689611,Pathanamthitta,KERALA
689548,Pathanamthitta,KERALA
689533,Pathanamthitta,KERALA
689126,Alappuzha,KERALA
689544,Pathanamthitta,KERALA
689124,Alappuzha,KERALA
676301,Malappuram,KERALA
676102,Malappuram,KERALA
676106,Malappuram,KERALA
676552,Malappuram,KERALA
676551,Malappuram,KERALA
676304,Malappuram,KERALA
676307,Malappuram,KERALA
676317,Malappuram,KERALA
676302,Malappuram,KERALA
676508,Malappuram,KERALA
676552,Malappuram,KERALA
676304,Malappuram,KERALA
679573,Malappuram,KERALA
679576,Malappuram,KERALA
679582,Malappuram,KERALA
679571,Malappuram,KERALA
679571,Malappuram,KERALA
679576,Malappuram,KERALA
680012,Thrissur,KERALA
680306,Thrissur,KERALA
680541,Thrissur,KERALA
680563,Thrissur,KERALA
680751,Thrissur,KERALA
680012,Thrissur,KERALA
680651,Thrissur,KERALA
680007,Thrissur,KERALA
680306,Thrissur,KERALA
680306,Thrissur,KERALA
680588,Thrissur,KERALA
680563,Thrissur,KERALA
680589,Thrissur,KERALA
680586,Thrissur,KERALA
680306,Thrissur,KERALA
680012,Thrissur,KERALA
680008,Thrissur,KERALA
680517,Thrissur,KERALA
680583,Thrissur,KERALA
679532,Thrissur,KERALA
680585,Thrissur,KERALA
680601,Thrissur,KERALA
680581,Thrissur,KERALA
680551,Thrissur,KERALA
680602,Thrissur,KERALA
680541,Thrissur,KERALA
680519,Thrissur,KERALA
679329,Malappuram,KERALA
679332,Malappuram,KERALA
679329,Malappuram,KERALA
676521,Malappuram,KERALA
679330,Malappuram,KERALA
673639,Malappuram,KERALA
673638,Malappuram,KERALA
673634,Malappuram,KERALA
676123,Malappuram,KERALA
676123,Malappuram,KERALA
676123,Malappuram,KERALA
679334,Malappuram,KERALA
673641,Malappuram,KERALA
676509,Malappuram,KERALA
676517,Malappuram,KERALA
673642,Malappuram,KERALA
676519,Malappuram,KERALA
679321,Malappuram,KERALA
679341,Malappuram,KERALA
679321,Malappuram,KERALA
673642,Malappuram,KERALA
690535,Alappuzha,KERALA
690558,Alappuzha,KERALA
